"Title Export - Recommended Metadata
The following fields represent the fields that most trading partners are looking for.  This does not mean that you must have these fields but where appropriate we encourage you to populate your titles with as much relevant data as possible.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ABC of Impossibility,,Univocal,,,,978-1-937561-49-9,8/1/2015  12:00:00 AM,Book,Paperback,"Critchley, Simon",Author,,,,,,,Univocal Publishing,Univocal Publishing,19.95,,14.99,PHILOSOPHY/General,,,Active,Available,4.375 x 6.5,1,,100,20,,,English,,,EAN13+5/Position Unspecified,How does one write an experimental ,,Simon Critchley is Hans Jonas Profe,,,
,All Thoughts Are Equal,Laruelle and Nonhuman Philosophy,Posthumanities,,,,978-0-8166-9735-9,9/15/2015  12:00:00 AM,Book,Paperback,"Ó Maoilearca, John",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,30.00,,22.99,PHILOSOPHY/General,ART/Film & Video,PHILOSOPHY/Movements/Critical Theory,Active,Available,5.5 x 8.5,1.5,,344,32,,,English,,2,EAN13+5/Position Unspecified,All Thoughts Are Equal is both an in,,John Ó Maoilearca is professor of fil,,,
,All Thoughts Are Equal,Laruelle and Nonhuman Philosophy,Posthumanities,,,,978-0-8166-9734-2,9/15/2015  12:00:00 AM,Book,Hardcover,"Ó Maoilearca, John",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,105.00,,87.00,PHILOSOPHY/General,ART/Film & Video,PHILOSOPHY/Movements/Critical Theory,Active,Available,5.5 x 8.5,1.5,,384,24,,,English,,2,EAN13+5/Position Unspecified,All Thoughts Are Equal is both an in,,John Ó Maoilearca is professor of fil,,,
The,Art of Wonder,"Inspiration, Creativity, and the Minneapolis Institute of Arts",,,,,978-0-8166-9892-9,11/1/2015  12:00:00 AM,Book,Cloth,Minneapolis Institute Of Arts,Editor,,,,,,,Minneapolis Institute Of Art,Minneapolis Institute Of Art,25.00,,18.99,"ART/Collections, Catalogs, Exhibitions/General",,,Active,Available,8 x 10,1,,160,18,,,English,,,EAN13+5/Position Unspecified,On the occasion of its 100th anniver,,,,,
,Awakening the Eye,Robert Frank's American Cinema,,,,,978-0-8166-9559-1,9/1/2015  12:00:00 AM,Book,Paperback,"Kouvaros, George",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,25.00,,18.99,PHOTOGRAPHY/Individual Photographers/General,ART/Film & Video,,Active,Available,6 x 8,1,,232,48,,,English,,50,EAN13+5/Position Unspecified,"Until now, celebrated photographer R",,George Kouvaros is senior lecturer i,,,
,Awakening the Eye,Robert Frank's American Cinema,,,,,978-0-8166-9556-0,9/1/2015  12:00:00 AM,Book,Hardcover,"Kouvaros, George",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,87.50,,72.00,PHOTOGRAPHY/Individual Photographers/General,ART/Film & Video,,Active,Available,6 x 8,1,,232,36,,,English,,50,EAN13+5/Position Unspecified,"Until now, celebrated photographer R",,George Kouvaros is senior lecturer i,,,
,Bargaining for Women's Rights,Activism in an Aspiring Muslim Democracy,,,,,978-0-8166-9218-7,6/30/2015  12:00:00 AM,Book,Paperback,"Kang, Alice J.",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,27.00,,21.99,SOCIAL SCIENCE/Women's Studies,POLITICAL SCIENCE/World/African,POLITICAL SCIENCE/Human Rights,Active,Available,5.5 x 8.5,1.5,,256,52,,,English,,11,EAN13+5/Position Unspecified,Gender relations in Muslim-majority ,,Alice J. Kang is assistant professor o,,,
,Bargaining for Women's Rights,Activism in an Aspiring Muslim Democracy,,,,,978-0-8166-9217-0,6/30/2015  12:00:00 AM,Book,Hardcover,"Kang, Alice J.",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,94.50,,78.00,SOCIAL SCIENCE/Women's Studies,POLITICAL SCIENCE/World/African,POLITICAL SCIENCE/Human Rights,Active,Available,5.5 x 8.5,1.5,,256,36,,,English,,11,EAN13+5/Position Unspecified,Gender relations in Muslim-majority ,,Alice J. Kang is assistant professor o,,,
,Barnstorming the Prairies,How Aerial Vision Shaped the Midwest,,,,,978-0-8166-7751-1,12/29/2015  12:00:00 AM,Book,Paperback,"Weems, Jason",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,34.95,,26.99,ART/History/Modern (late 19th Century to 1945),ART/American/General,HISTORY/United States/20th Century,Active,Available,8 x 9,2,,368,16,,,English,,132,EAN13+5/Position Unspecified,To Midwesterners tucked into small ,,Jason Weems is associate professo,,,
,Barnstorming the Prairies,How Aerial Vision Shaped the Midwest,,,,,978-0-8166-7750-4,12/29/2015  12:00:00 AM,Book,Hardcover,"Weems, Jason",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,122.50,,101.00,ART/History/Modern (late 19th Century to 1945),ART/American/General,HISTORY/United States/20th Century,Active,Available,8 x 9,2,,368,14,,,English,,132,EAN13+5/Position Unspecified,To Midwesterners tucked into small ,,Jason Weems is associate professo,,,
,Barry Le Va,The Aesthetic Aftermath,,,,,978-0-8166-9469-3,10/1/2015  12:00:00 AM,Book,Paperback,"Maizels, Michael",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,30.00,,22.99,ART/Individual Artists/General,ART/Sculpture & Installation,ART/History/Contemporary (1945-),Active,Available,6 x 8,1,,224,48,,,English,,53,EAN13+5/Position Unspecified,Of the conceptual artists who began ,,Michael Maizels earned his PhD in a,,,
,Barry Le Va,The Aesthetic Aftermath,,,,,978-0-8166-9468-6,10/1/2015  12:00:00 AM,Book,Hardcover,"Maizels, Michael",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,90.00,,74.00,ART/Individual Artists/General,ART/Sculpture & Installation,ART/History/Contemporary (1945-),Active,Available,6 x 8,1,,224,20,,,English,,53,EAN13+5/Position Unspecified,Of the conceptual artists who began ,,Michael Maizels earned his PhD in a,,,
,Becoming Past,History in Contemporary Art,,,,,978-0-8166-9698-7,12/20/2015  12:00:00 AM,Book,Paperback,"Blocker, Jane",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,30.00,,22.99,ART/History/Contemporary (1945-),ART/Criticism & Theory,,Active,Available,5.5 x 8.5,1,,248,52,,,English,,50,EAN13+5/Position Unspecified,Is there such a thing as contempora,,Jane Blocker is professor of art histo,,,
,Becoming Past,History in Contemporary Art,,,,,978-0-8166-9697-0,12/20/2015  12:00:00 AM,Book,Hardcover,"Blocker, Jane",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,105.00,,87.00,ART/History/Contemporary (1945-),ART/Criticism & Theory,,Active,Available,5.5 x 8.5,1,,248,26,,,English,,50,EAN13+5/Position Unspecified,Is there such a thing as contempora,,Jane Blocker is professor of art histo,,,
The,Beginning and End of Rape,Confronting Sexual Violence in Native America,,,,,978-0-8166-9633-8,11/1/2015  12:00:00 AM,Book,Paperback,"Deer, Sarah",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,22.95,,11.99,SOCIAL SCIENCE/Sexual Abuse & Harassment,LAW/Indigenous Peoples,SOCIAL SCIENCE/Ethnic Studies/American/Native American Studies,Active,Available,5.5 x 8.5,1,,232,48,,,English,,,EAN13+5/Position Unspecified,Winner of the Labriola Center Ame,,"Sarah Deer, a 2014 MacArthur Fello",,,
The,Beginning and End of Rape,Confronting Sexual Violence in Native America,,,,,978-0-8166-9631-4,11/1/2015  12:00:00 AM,Book,Hardcover,"Deer, Sarah",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,80.50,,17.99,SOCIAL SCIENCE/Sexual Abuse & Harassment,LAW/Indigenous Peoples,SOCIAL SCIENCE/Ethnic Studies/American/Native American Studies,Out of Print Cancel,,5.5 x 8.5,1,,232,20,,,English,,,EAN13+5/Position Unspecified,Winner of the Labriola Center Ame,,"Sarah Deer, a 2014 MacArthur Fello",,,
,Best to Laugh,A Novel,,,,,978-0-8166-9897-4,9/1/2015  12:00:00 AM,Book,Paperback,"Landvik, Lorna",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,16.95,,12.99,FICTION/General,FICTION/Women,,Active,Available,5.5 x 8,1.5,,312,36,,,English,,,EAN13+5/Position Unspecified,"No one steps up to life’s banquet, ho",Best to Laugh follows Lorna Landvik,Lorna Landvik is the best-selling aut,,,
The,Birchwood Cafe Cookbook,Good Real Food,,,,,978-0-8166-7986-7,11/1/2015  12:00:00 AM,Book,Paperback,"Singleton, Tracy",Author,"Paulsen, Marshall",Author,"Dooley, Beth",Author,"Nielsen, Mette",Photographer,Univ Of Minnesota Press,Univ Of Minnesota Press,29.95,,22.99,COOKING/Individual Chefs & Restaurants,COOKING/Specific Ingredients/Natural Foods,COOKING/Regional & Ethnic/American/Middle Western States,Active,Available,8 x 9,1,,200,16,,,English,,70,EAN13+5/Position Unspecified,Creating a better world starts at hom,,Tracy Singleton is the founder and o,,,
,Border Walls Gone Green,Nature and Anti-immigrant Politics in America,,,,,978-0-8166-9498-3,10/15/2015  12:00:00 AM,Book,Paperback,"Hultgren, John",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,27.00,,21.99,SOCIAL SCIENCE/Emigration & Immigration,SOCIAL SCIENCE/Human Geography,NATURE/Environmental Conservation & Protection,Active,Available,5.5 x 8.5,1,,248,48,,,English,,3,EAN13+5/Position Unspecified,How is it that self-identified environm,,John Hultgren is a lecturer in the De,,,
,Border Walls Gone Green,Nature and Anti-immigrant Politics in America,,,,,978-0-8166-9497-6,10/15/2015  12:00:00 AM,Book,Hardcover,"Hultgren, John",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,94.50,,78.00,SOCIAL SCIENCE/Emigration & Immigration,SOCIAL SCIENCE/Human Geography,NATURE/Environmental Conservation & Protection,Active,Available,5.5 x 8.5,1,,248,26,,,English,,3,EAN13+5/Position Unspecified,How is it that self-identified environm,,John Hultgren is a lecturer in the De,,,
,Cartography of Exhaustion,Nihilism Inside Out,Univocal,,,,978-1-937561-51-2,12/7/2015  12:00:00 AM,Book,Paperback,"Pelbart, Peter Pál",Author,"Laudenberger, John",Translator,"Palazuelos, Felix Rebolledo",Translator,,,Univocal Publishing,Univocal Publishing,26.95,,21.99,PHILOSOPHY/General,,,Active,Available,5 x 8,1.5,,300,44,,,English,,,EAN13+5/Position Unspecified,In our current landscape of commun,,Peter Pál Pelbart is a Brazilian philo,,,
The,Challenge of Surrealism,The Correspondence of Theodor W. Adorno and Elisabeth Lenk,,,,,978-0-8166-5617-2,11/15/2015  12:00:00 AM,Book,Paperback,"Lenk, Elisabeth",Author,"Adorno, Theodor W.",Author,"Bischof, Rita",Introduction,"Gillespie, Susan H.",Translator,Univ Of Minnesota Press,Univ Of Minnesota Press,27.50,,13.99,PHILOSOPHY/General,PHILOSOPHY/Aesthetics,PHILOSOPHY/Criticism,Active,Available,5.5 x 8.5,1,,248,44,,,English,,,EAN13+5/Position Unspecified,The correspondence between the ph,,Susan H. Gillespie is founding direct,,,
The,Challenge of Surrealism,The Correspondence of Theodor W. Adorno and Elisabeth Lenk,,,,,978-0-8166-5616-5,11/15/2015  12:00:00 AM,Book,Hardcover,"Lenk, Elisabeth",Author,"Adorno, Theodor W.",Author,"Bischof, Rita",Introduction,"Gillespie, Susan H.",Translator,Univ Of Minnesota Press,Univ Of Minnesota Press,96.00,,79.00,PHILOSOPHY/General,PHILOSOPHY/Aesthetics,PHILOSOPHY/Criticism,Active,Available,5.5 x 8.5,1,,248,20,,,English,,,EAN13+5/Position Unspecified,The correspondence between the ph,,Susan H. Gillespie is founding direct,,,
,Civil Resistance,Comparative Perspectives on Nonviolent Struggle,"Social Movements, Protest and Contention",,,,978-0-8166-9492-1,8/15/2015  12:00:00 AM,Book,Paperback,"Schock, Kurt",Editor,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,30.00,,22.99,POLITICAL SCIENCE/Civil Rights,POLITICAL SCIENCE/Peace,SOCIAL SCIENCE/Essays,Active,Available,5.875 x 9,1.5,,344,36,,,English,,3,EAN13+5/Position Unspecified,In the past quarter century the world ,,Kurt Schock is associate professor o,,,
,Civil Resistance,Comparative Perspectives on Nonviolent Struggle,"Social Movements, Protest and Contention",,,,978-0-8166-9490-7,8/15/2015  12:00:00 AM,Book,Hardcover,"Schock, Kurt",Editor,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,105.00,,87.00,POLITICAL SCIENCE/Civil Rights,POLITICAL SCIENCE/Peace,SOCIAL SCIENCE/Essays,Active,Available,5.875 x 9,1.5,,344,28,,,English,,3,EAN13+5/Position Unspecified,In the past quarter century the world ,,Kurt Schock is associate professor o,,,
,Coin-Operated Americans,Rebooting Boyhood at the Video Game Arcade,,,,,978-0-8166-9183-8,9/30/2015  12:00:00 AM,Book,Paperback,"Kocurek, Carly A.",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,22.95,,11.99,HISTORY/Social History,COMPUTERS/Social Aspects,COMPUTERS/History,Active,Available,5.5 x 8.5,1.5,,272,48,,,English,,44,EAN13+5/Position Unspecified,"Video gaming: it’s a boy’s world, righ",,Carly A. Kocurek is assistant profess,,,
,Coin-Operated Americans,Rebooting Boyhood at the Video Game Arcade,,,,,978-0-8166-9182-1,9/30/2015  12:00:00 AM,Book,Hardcover,"Kocurek, Carly A.",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,80.50,,17.99,HISTORY/Social History,COMPUTERS/Social Aspects,COMPUTERS/History,Active,Available,5.5 x 8.5,1.5,,272,36,,,English,,44,EAN13+5/Position Unspecified,"Video gaming: it’s a boy’s world, righ",,Carly A. Kocurek is assistant profess,,,
,Computing as Writing,,,,,,978-0-8166-9702-1,12/15/2015  12:00:00 AM,Book,Paperback,"Punday, Daniel",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,27.00,,21.99,LITERARY CRITICISM/Semiotics & Theory,SOCIAL SCIENCE/Media Studies,COMPUTERS/Information Theory,Active,Available,5.5 x 8.5,1,,232,64,,,English,,11,EAN13+5/Position Unspecified,This book examines the common me,,Daniel Punday is professor of Englis,,,
,Computing as Writing,,,,,,978-0-8166-9699-4,12/15/2015  12:00:00 AM,Book,Hardcover,"Punday, Daniel",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,94.50,,78.00,LITERARY CRITICISM/Semiotics & Theory,SOCIAL SCIENCE/Media Studies,COMPUTERS/Information Theory,Active,Available,5.5 x 8.5,1,,232,48,,,English,,11,EAN13+5/Position Unspecified,This book examines the common me,,Daniel Punday is professor of Englis,,,
,Cosmic Pessimism,,Univocal,,,,978-1-937561-47-5,8/1/2015  12:00:00 AM,Book,Paperback,"Thacker, Eugene",Author,,,,,,,Univocal Publishing,Univocal Publishing,19.95,,14.99,PHILOSOPHY/General,,,Active,Available,4.375 x 6.5,2,,55,50,,,English,,9,EAN13+5/Position Unspecified,“We’re doomed.” So begins the work ,,Eugene Thacker is the author of sev,,,
,Dead Matter,The Meaning of Iconic Corpses,,,,,978-0-8166-9434-1,12/15/2015  12:00:00 AM,Book,Paperback,"Schwartz, Margaret",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,25.00,,18.99,SOCIAL SCIENCE/Media Studies,SOCIAL SCIENCE/Death & Dying,,Active,Available,5.5 x 8.5,1,,168,38,,,English,,15,EAN13+5/Position Unspecified,Taking as its starting point the signif,,Margaret Schwartz is assistant profe,,,
,Dead Matter,The Meaning of Iconic Corpses,,,,,978-0-8166-9433-4,12/15/2015  12:00:00 AM,Book,Hardcover,"Schwartz, Margaret",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,87.50,,72.00,SOCIAL SCIENCE/Media Studies,SOCIAL SCIENCE/Death & Dying,,Active,Available,5.5 x 8.5,1,,168,32,,,English,,15,EAN13+5/Position Unspecified,Taking as its starting point the signif,,Margaret Schwartz is assistant profe,,,
,Death beyond Disavowal,The Impossible Politics of Difference,Difference Incorporated,,,,978-0-8166-9530-0,10/1/2015  12:00:00 AM,Book,Paperback,"Hong, Grace Kyungwon",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,25.00,,18.99,SOCIAL SCIENCE/Discrimination,SOCIAL SCIENCE/Gender Studies,SOCIAL SCIENCE/LGBT Studies/Gay Studies,Active,Available,5.5 x 8.5,1,,200,60,,,English,,,EAN13+5/Position Unspecified,Death beyond Disavowal utilizes “dif,,Grace Kyungwon Hong is associate ,,,
,Death beyond Disavowal,The Impossible Politics of Difference,Difference Incorporated,,,,978-0-8166-9526-3,10/1/2015  12:00:00 AM,Book,Hardcover,"Hong, Grace Kyungwon",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,87.50,,72.00,SOCIAL SCIENCE/Discrimination,SOCIAL SCIENCE/Gender Studies,SOCIAL SCIENCE/LGBT Studies/Gay Studies,Active,Available,5.5 x 8.5,1,,200,32,,,English,,,EAN13+5/Position Unspecified,Death beyond Disavowal utilizes “dif,,Grace Kyungwon Hong is associate ,,,
,Diaboliques,Six Tales of Decadence,,,,,978-0-8166-9690-1,10/8/2015  12:00:00 AM,Book,Paperback,"Barbey d’Aurevilly, Jules",Author,"MacKenzie, Raymond N.",Translator,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,18.95,,14.99,FICTION/Short Stories (single author),FICTION/Psychological,,Active,Available,5.5 x 8.5,1.5,,312,32,,,English,,,EAN13+5/Position Unspecified,With its six trenchant tales of perver,,Jules Barbey d’Aurevilly (1808–1889,,,
,Diaboliques,Six Tales of Decadence,,,,,978-0-8166-9689-5,10/8/2015  12:00:00 AM,Book,Hardcover,"Barbey d’Aurevilly, Jules",Author,"MacKenzie, Raymond N.",Translator,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,66.50,,55.00,FICTION/Short Stories (single author),FICTION/Psychological,,Active,Available,5.5 x 8.5,1.5,,312,18,,,English,,,EAN13+5/Position Unspecified,With its six trenchant tales of perver,,Jules Barbey d’Aurevilly (1808–1889,,,
The,Different Modes of Existence,,Univocal,,,,978-1-937561-50-5,12/1/2015  12:00:00 AM,Book,Paperback,"Souriau, Étienne",Author,"Beranek, Erik",Translator,"Howles, Tim",Translator,,,Univocal Publishing,Univocal Publishing,26.95,,21.99,PHILOSOPHY/General,,,Active,Available,5 x 8,1,,235,20,,,English,,,EAN13+5/Position Unspecified,What relation is there between the e,,Étienne Souriau was one of France’s ,,,
,Early Blues,The First Stars of Blues Guitar,,,,,978-0-8166-9804-2,11/9/2015  12:00:00 AM,Book,Hardcover,"Obrecht, Jas",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,22.95,,11.99,MUSIC/Genres & Styles/Blues,BIOGRAPHY & AUTOBIOGRAPHY/Music,HISTORY/United States/20th Century,Active,Available,6 x 8,1,,224,20,,,English,,70,EAN13+5/Position Unspecified,Winner of the 2016 Living Blues Awa,,Jas Obrecht is an award-winning mu,,,
,Elemental Ecocriticism,"Thinking with Earth, Air, Water, and Fire",,,,,978-0-8166-9309-2,12/23/2015  12:00:00 AM,Book,Paperback,"Cohen, Jeffrey Jerome",Editor,"Duckert, Lowell",Editor,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,27.00,,21.99,PHILOSOPHY/Criticism,NATURE/Essays,PHILOSOPHY/Movements/Critical Theory,Active,Available,5.5 x 8.5,1.5,,344,32,,,English,,17,EAN13+5/Position Unspecified,For centuries it was believed that all ,,Jeffrey Jerome Cohen is professor o,,,
,Elemental Ecocriticism,"Thinking with Earth, Air, Water, and Fire",,,,,978-0-8166-9307-8,12/23/2015  12:00:00 AM,Book,Hardcover,"Cohen, Jeffrey Jerome",Editor,"Duckert, Lowell",Editor,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,94.50,,78.00,PHILOSOPHY/Criticism,NATURE/Essays,PHILOSOPHY/Movements/Critical Theory,Active,Available,5.5 x 8.5,1.5,,344,18,,,English,,17,EAN13+5/Position Unspecified,For centuries it was believed that all ,,Jeffrey Jerome Cohen is professor o,,,
,Elusive Jannah,The Somali Diaspora and a Borderless Muslim Identity,,,,,978-0-8166-9739-7,8/1/2015  12:00:00 AM,Book,Paperback,"Abdi, Cawo M.",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,27.00,,21.99,SOCIAL SCIENCE/Anthropology/Cultural & Social,SOCIAL SCIENCE/Ethnic Studies/American/African American Studies,SOCIAL SCIENCE/Islamic Studies,Active,Available,5.5 x 8.5,1.5,,296,44,,,English,,25,EAN13+5/Position Unspecified,As a Somali working since high scho,,Cawo M. Abdi is assistant professor ,,,
,Elusive Jannah,The Somali Diaspora and a Borderless Muslim Identity,,,,,978-0-8166-9738-0,8/1/2015  12:00:00 AM,Book,Hardcover,"Abdi, Cawo M.",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,94.50,,78.00,SOCIAL SCIENCE/Anthropology/Cultural & Social,SOCIAL SCIENCE/Ethnic Studies/American/African American Studies,SOCIAL SCIENCE/Islamic Studies,Active,Available,5.5 x 8.5,1.5,,296,32,,,English,,25,EAN13+5/Position Unspecified,As a Somali working since high scho,,Cawo M. Abdi is assistant professor ,,,
,Everybody's Heard about the Bird,The True Story of 1960s Rock 'n' Roll in Minnesota,,,,,978-0-8166-9319-1,11/7/2015  12:00:00 AM,Book,Hardcover,"Shefchik, Rick",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,29.95,,22.99,MUSIC/Genres & Styles/Rock,SOCIAL SCIENCE/Popular Culture,MUSIC/History & Criticism,Active,Available,7 x 9,2,,352,16,,,English,,130,EAN13+5/Position Unspecified,If you didn’t experience rock and roll ,,Rick Shefchik spent almost thirty yea,,,
,Flusseriana,An Intellectual Toolbox,Univocal,,,,978-1-937561-52-9,10/15/2015  12:00:00 AM,Book,Hardcover,"Flusser, Vilém",Author,"Zielinski, Siegfried",Editor,"Weibel, Peter",Editor,"Irrgang, Daniel",Editor,Univocal Publishing,Univocal Publishing,38.95,,32.00,PHILOSOPHY/General,,,Active,Available,6.3 x 11.4,2,,496,5,,,English,,,EAN13+5/Position Unspecified,Freestyle thinking—that is Vilém Flu,,Vilém Flusser (1920–1991) was born ,,,
A,Good Investment?,Philanthropy and the Marketing of Race in an Urban Public School,,,,,978-0-8166-9114-2,11/15/2015  12:00:00 AM,Book,Paperback,"Brown, Amy",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,25.00,,18.99,EDUCATION/Educational Policy & Reform/General,SOCIAL SCIENCE/Philanthropy & Charity,SOCIAL SCIENCE/Anthropology/General,Active,Available,5.5 x 8.5,1.5,,296,43,,,English,,2,EAN13+5/Position Unspecified,Select students and teachers worked ,,Amy Brown is an educational anthro,,,
A,Good Investment?,Philanthropy and the Marketing of Race in an Urban Public School,,,,,978-0-8166-9112-8,11/15/2015  12:00:00 AM,Book,Hardcover,"Brown, Amy",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,87.50,,72.00,EDUCATION/Educational Policy & Reform/General,SOCIAL SCIENCE/Philanthropy & Charity,SOCIAL SCIENCE/Anthropology/General,Active,Available,5.5 x 8.5,1.5,,296,32,,,English,,2,EAN13+5/Position Unspecified,Select students and teachers worked ,,Amy Brown is an educational anthro,,,
